what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295044082180
java.vm.version,sysinfo,,,"17.0-b17",1295044082180
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044104689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044110090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044111697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044331154
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295044333121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044335627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044356551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1295044356577
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295044360180
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.closeProject",1295044370660
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295044371088
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295044371144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044376241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044377866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295044377872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295044384652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044393932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044396183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1295044396191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1295044396191
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044404683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044404822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295044419843
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045225977
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045228892
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045229016
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045229153
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045229154
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045230505
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045230641
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045230641
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045232002
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045232140
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045232140
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295045233562
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045233562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045241729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045249806
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045250249
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295045250392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295045253183
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1295045253242
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1295045268657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295045270760
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1295045272160
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1295045272208
